rspd_id,model_id,purchase,V1,V2,V3,V4
138,139,1,-0.524243189,-0.572681465,-0.134253183,B
138,213,0,-1.711764715,-1.567838205,-1.411591485,A
142,59,0,-1.403428477,-1.197179634,-0.894178608,A
142,307,0,-0.801607773,-1.022730374,-1.231419508,C
142,219,0,-0.525156184,-0.719517791,-0.465690982,D
142,155,0,-0.543616054,-1.287014439,-0.505382877,E
142,64,0,-0.864897582,0.322416344,-0.407310038,A
142,272,1,-0.815319206,-1.209054233,-0.825034934,D
144,272,1,-0.815319206,-1.209054233,-0.825034934,D
144,193,0,0.052761044,0.0344193,0.241332472,E
144,95,0,-0.88478473,-0.583011955,-0.642503331,A
144,45,0,-0.548610225,-0.465622994,-0.471407399,A
144,155,0,-0.543616054,-1.287014439,-0.505382877,E
144,257,0,-0.222500419,0.620812495,-0.545714991,D
146,357,0,-0.189963531,-0.526486244,-0.160255534,C
146,179,0,0.959158997,1.616873727,1.511239752,B
146,99,0,-0.551146083,-0.065837773,-0.276165693,A
146,213,0,-1.711764715,-1.567838205,-1.411591485,A
146,144,1,-0.366828799,-0.655998863,-0.235072948,D
146,69,0,-0.799773184,-0.567525122,-0.539420753,A
155,209,0,0.870546378,0.608932657,0.868104033,D
155,153,0,-0.824122533,-0.838356394,-0.825034934,E
155,1,0,0.25312209,-0.887893823,-0.586708317,C
155,389,0,-1.461300042,-1.409661303,-1.044677504,A
155,46,1,-1.306485631,-1.126584271,-0.916714579,A
155,373,0,-0.878562136,-0.988639608,-1.326819405,C
160,34,0,0.984003661,0.664104856,0.850719002,C
160,276,1,-0.429548588,-0.910087174,0.05659346,D
160,177,0,1.359529087,1.651583605,1.801788315,B
160,149,0,-0.82921488,-1.42211234,-1.292876818,D
160,300,0,0.217402621,0.745612081,-0.312938957,C
160,355,0,-0.967873069,-1.10329708,-1.608868696,C
169,264,1,-1.207220394,-1.256869289,-0.649486598,D
169,60,0,-1.480007707,-1.097494111,-1.421094314,A
169,329,0,0.076155816,0.322416344,-0.083045861,D
169,127,0,0.907391712,2.300187625,1.868473249,B
169,44,0,-0.667695323,-0.531595631,-0.604960492,A
169,317,0,-1.58118352,-1.731793465,-1.499338623,D
180,268,0,-0.978868306,-1.347918982,-0.917657999,D
180,19,0,-0.546801265,0.22413759,-0.522041811,A
180,23,1,-0.975242734,-0.8548082,-0.388148742,A
180,366,0,-0.355591214,-0.860305562,-0.649486598,C
180,372,0,-0.746678846,-1.453391881,-1.088492787,C
180,27,0,0.833517674,0.258566107,1.136177553,C
191,36,0,0.725134165,0.589062789,0.420274094,C
191,20,0,-1.163129655,-0.746251616,-0.941359948,A
191,351,0,-0.42815394,-0.645499219,-0.649486598,C
191,59,0,-1.403428477,-1.197179634,-0.894178608,A
191,76,0,-0.264728536,-0.001779251,-0.276165693,C
191,324,1,-0.392364776,-0.677072122,-0.25797989,D
194,107,0,-0.565961464,-0.865809666,-0.692231859,B
194,54,0,-1.161908674,-0.887893823,-0.870917632,A
194,296,0,-0.135338577,-0.135501809,-0.312938957,C
194,313,0,0.410998639,0.097072704,0.248741476,D
194,226,0,0.150389314,0.855790514,0.05659346,D
194,264,1,-1.207220394,-1.256869289,-0.649486598,D
213,114,0,0.708408195,1.212759752,1.345091332,B
213,129,0,-0.192596285,-0.107506317,-0.134253183,B
213,46,0,-1.306485631,-1.126584271,-0.916714579,A
213,166,0,0.534266528,1.17796426,1.325930036,E
213,181,1,-1.118127641,-0.682355932,-0.616436128,A
213,366,0,-0.355591214,-0.860305562,-0.649486598,C
214,108,0,-0.967407575,-0.90452854,-1.244827244,B
214,220,0,-0.531765251,-0.849317562,-0.465690982,D
214,284,0,-0.533104014,0.02087903,-0.505382877,C
214,209,0,0.870546378,0.608932657,0.868104033,D
214,324,1,-0.392364776,-0.677072122,-0.25797989,D
214,93,0,-1.243165028,-1.057082041,-0.910826249,A
221,276,1,-0.429548588,-0.910087174,0.05659346,D
221,106,0,-0.439348625,-0.677072122,-0.506983733,C
221,94,0,-1.326630418,-1.434598012,-1.191622325,A
